Account Number,Transaction Date,Reporting Amount,Purpose
4,12/8/2023,10000,cash in hand
4,10/9/2023,1000,ppe
4,1/10/2023,-5000,gross income
4,2/11/2023,-2100,ppe
4,3/12/2023,100,gross income
4,4/13/2023,100,ar
4,5/14/2023,1000,gross income
4,6/15/2023,2321,ar
4,7/16/2023,-10,ar
4,8/17/2023,-100,gross income
4,9/18/2023,-3000,ppe
4,11/19/2023,4000,ar
4,12/20/2023,4000,ar
4,12/21/2023,-1000,ppe
3,7/8/2023,400,cash in hand
3,1/9/2023,-1000,ppe
3,12/10/2023,123,ppe
3,12/11/2023,222,ppe
3,5/12/2023,555,ppe
3,6/13/2023,-13123,ar
3,2/14/2023,1000,gross income
3,3/15/2023,2321,gross income
3,4/16/2023,-10,gross income
3,5/17/2023,-100,gross income
3,6/18/2023,-3000,gross income
3,7/19/2023,4000,ar
3,8/20/2023,4000,ar
3,9/21/2023,1200,gross income
4,12/8/2023,10000,cash in hand
4,10/9/2023,1000,ppe
4,1/10/2023,-5000,gross income
4,2/11/2023,-2100,ppe
4,3/12/2023,100,gross income
4,4/13/2023,100,ar
4,5/14/2023,1000,gross income
4,6/15/2023,2321,ar
4,7/16/2023,-10,ar
4,8/17/2023,-100,gross income
4,9/18/2023,-3000,ppe
4,11/19/2023,4000,ar
4,12/20/2023,4000,ar
4,12/21/2023,-1000,ppe
3,7/8/2023,400,cash in hand
3,1/9/2023,-1000,ppe
3,12/10/2023,123,ppe
3,12/11/2023,222,ppe
3,5/12/2023,555,ppe
3,6/13/2023,-13123,ar
3,2/14/2023,1000,gross income
3,3/15/2023,2321,gross income
3,4/16/2023,-10,gross income
3,5/17/2023,-100,gross income
3,6/18/2023,-3000,gross income
3,7/19/2023,4000,ar
3,8/20/2023,4000,ar
3,9/21/2023,1200,gross income
4,12/8/2023,10000,cash in hand
4,10/9/2023,1000,ppe
4,1/10/2023,-5000,gross income
4,2/11/2023,-2100,ppe
4,3/12/2023,100,gross income
4,4/13/2023,100,ar
4,5/14/2023,1000,gross income
4,6/15/2023,2321,ar
4,7/16/2023,-10,ar
4,8/17/2023,-100,gross income
4,9/18/2023,-3000,ppe
4,11/19/2023,4000,ar
4,12/20/2023,4000,ar
4,12/21/2023,-1000,ppe
3,7/8/2023,400,cash in hand
3,1/9/2023,-1000,ppe
3,12/10/2023,123,ppe
3,12/11/2023,222,ppe
3,5/12/2023,555,ppe
3,6/13/2023,-13123,ar
3,2/14/2023,1000,gross income
3,3/15/2023,2321,gross income
3,4/16/2023,-10,gross income
3,5/17/2023,-100,gross income
3,6/18/2023,-3000,gross income
3,7/19/2023,4000,ar
3,8/20/2023,4000,ar
3,9/21/2023,1200,gross income
4,12/8/2023,10000,cash in hand
4,10/9/2023,1000,ppe
4,1/10/2023,-5000,gross income
4,2/11/2023,-2100,ppe
4,3/12/2023,100,gross income
4,4/13/2023,100,ar
4,5/14/2023,1000,gross income
4,6/15/2023,2321,ar
4,7/16/2023,-10,ar
4,8/17/2023,-100,gross income
4,9/18/2023,-3000,ppe
4,11/19/2023,4000,ar
4,12/20/2023,4000,ar
4,12/21/2023,-1000,ppe
3,7/8/2023,400,cash in hand
3,1/9/2023,-1000,ppe
3,12/10/2023,123,ppe
3,12/11/2023,222,ppe
3,5/12/2023,555,ppe
3,6/13/2023,-13123,ar
3,2/14/2023,1000,gross income
3,3/15/2023,2321,gross income
3,4/16/2023,-10,gross income
3,5/17/2023,-100,gross income
3,6/18/2023,-3000,gross income
3,7/19/2023,4000,ar
3,8/20/2023,4000,ar
3,9/21/2023,1200,gross income
4,12/8/2023,10000,cash in hand
4,10/9/2023,1000,ppe
4,1/10/2023,-5000,gross income
4,2/11/2023,-2100,ppe
4,3/12/2023,100,gross income
4,4/13/2023,100,ar
4,5/14/2023,1000,gross income
4,6/15/2023,2321,ar
4,7/16/2023,-10,ar
4,8/17/2023,-100,gross income
4,9/18/2023,-3000,ppe
4,11/19/2023,4000,ar
4,12/20/2023,4000,ar
4,12/21/2023,-1000,ppe
3,7/8/2023,400,cash in hand
3,1/9/2023,-1000,ppe
3,12/10/2023,123,ppe
3,12/11/2023,222,ppe
3,5/12/2023,555,ppe
3,6/13/2023,-13123,ar
3,2/14/2023,1000,gross income
3,3/15/2023,2321,gross income
3,4/16/2023,-10,gross income
3,5/17/2023,-100,gross income
3,6/18/2023,-3000,gross income
3,7/19/2023,4000,ar
3,8/20/2023,4000,ar
3,9/21/2023,1200,gross income
